,genre,artist_name,track_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,preference,prediction
141057,Indie,The Strumbellas,Salvation,0.00599,0.609,0.861,0.0,E,0.0924,-5.26,Major,0.0927,139.914,4/4,0.53,0,1
141128,Indie,Devendra Banhart,Baby,0.0498,0.833,0.325,0.0674,C#,0.15,-10.093,Minor,0.0404,102.02,4/4,0.8640000000000001,0,1
141440,Indie,The National Parks,1953,0.757,0.425,0.23,3.84e-06,E,0.33399999999999996,-10.844000000000001,Major,0.0355,118.82600000000001,4/4,0.223,0,1
141474,Indie,The National,Start A War,0.875,0.655,0.445,0.634,C,0.115,-12.06,Major,0.0274,130.012,4/4,0.14,0,1
141556,Indie,Ten Fé,Another Way,0.11800000000000001,0.7,0.361,0.13699999999999998,F,0.11800000000000001,-6.979,Major,0.0301,98.001,4/4,0.449,0,1
141611,Indie,Chastity Belt,Black Sail,0.221,0.55,0.691,0.0326,B,0.113,-10.442,Major,0.0338,125.745,4/4,0.44299999999999995,0,1
142182,Indie,Rhye,Waste,0.8170000000000001,0.657,0.324,0.038,F,0.10099999999999999,-11.934000000000001,Minor,0.037000000000000005,84.01100000000001,4/4,0.225,0,1
142193,Indie,Roo Panes,Land of the Living,0.512,0.512,0.384,0.000193,F,0.128,-8.799,Major,0.0331,121.992,4/4,0.289,0,1
142524,Indie,alt-J,Choice Kingdom,0.871,0.446,0.177,0.426,D,0.281,-19.427,Major,0.035,124.02600000000001,4/4,0.11800000000000001,0,1
142719,Indie,Shakey Graves,"Doe, Jane",0.945,0.526,0.27399999999999997,0.6759999999999999,G#,0.0957,-19.489,Minor,0.046,94.32,4/4,0.7829999999999999,0,1
143050,Indie,dude26,Zu Beginn,0.823,0.8009999999999999,0.363,0.0034100000000000003,F,0.107,-10.867,Major,0.312,85.958,4/4,0.53,0,1
143056,Indie,Fleurie,Breathe,0.0366,0.47200000000000003,0.44799999999999995,0.000319,C,0.0862,-10.219,Major,0.0485,140.056,4/4,0.205,0,1
143155,Indie,The Mountain Goats,Up The Wolves,0.494,0.489,0.366,7.25e-05,D,0.0892,-9.362,Major,0.0269,157.547,4/4,0.48,0,1
143464,Indie,Aldous Harding,The Barrel - Edit,0.743,0.738,0.423,7.96e-05,B,0.11900000000000001,-8.192,Major,0.0332,87.066,4/4,0.612,0,1
143484,Indie,SYML,Clean Eyes - Acoustic,0.9109999999999999,0.616,0.369,0.0,A,0.102,-8.595,Minor,0.0465,147.903,4/4,0.145,0,1
143639,Indie,James Vincent McMorrow,Ghosts,0.919,0.6459999999999999,0.297,0.0371,B,0.10300000000000001,-12.922,Minor,0.0304,110.963,4/4,0.18100000000000002,0,1
143829,Indie,Sylvan Esso,Come Down,0.948,0.359,0.0161,0.0008320000000000001,F,0.0814,-17.802,Major,0.0468,161.091,4/4,0.08900000000000001,0,1
144422,Indie,NoMBe,Summer's Gone 2.0,0.281,0.55,0.826,1.0300000000000001e-05,G,0.166,-8.779,Major,0.267,146.05,4/4,0.41200000000000003,0,1
144656,Indie,Daughter,Landfill,0.774,0.618,0.47,0.0,B,0.106,-8.2,Minor,0.0476,125.949,4/4,0.395,0,1
144824,Indie,Armi Millare,"Kapit - From ""Alone / Together""",0.745,0.586,0.32299999999999995,2.57e-06,C#,0.0769,-11.427999999999999,Major,0.0262,88.876,4/4,0.428,0,1
144922,Indie,Gregory Alan Isakov,All Shades of Blue,0.8809999999999999,0.478,0.298,0.00059,D,0.11,-10.908,Major,0.0319,161.392,3/4,0.29100000000000004,0,1
149194,Pop,Jeremy Zucker,firefly,0.608,0.738,0.325,1.55e-05,D,0.111,-8.633,Major,0.111,83.04700000000001,4/4,0.41,0,1
149375,Pop,Wiz Khalifa,Pull Up (feat. Lil Uzi Vert),0.0178,0.852,0.764,0.0,G#,0.336,-4.283,Minor,0.0631,132.981,4/4,0.266,0,1
149473,Pop,ILLENIUM,Lost,0.10099999999999999,0.6729999999999999,0.616,0.006529999999999999,G#,0.0966,-5.906000000000001,Major,0.0482,135.048,4/4,0.327,0,1
150052,Pop,Us The Duo,Better Together,0.64,0.584,0.303,0.0,F,0.133,-10.642000000000001,Major,0.11699999999999999,109.958,4/4,0.518,0,1
151271,Pop,Haley Heynderickx,The Bug Collector,0.777,0.5379999999999999,0.419,0.32899999999999996,A#,0.0967,-9.705,Major,0.0353,99.62200000000001,4/4,0.529,0,1
151397,Pop,Whethan,High (& Dua Lipa),0.0922,0.708,0.552,0.0,A#,0.0541,-5.5520000000000005,Minor,0.21,147.834,4/4,0.6859999999999999,0,1
151614,Pop,Lana Del Rey,Carmen,0.098,0.524,0.42700000000000005,0.000273,C#,0.129,-9.57,Minor,0.0297,100.024,4/4,0.0379,0,1
151981,Pop,Chayín Rubio,Se Olvidó,0.8190000000000001,0.679,0.6459999999999999,0.0,G,0.337,-3.342,Major,0.0275,125.036,4/4,0.706,0,1
192399,Soul,Whethan,High (& Dua Lipa),0.0922,0.708,0.552,0.0,A#,0.0541,-5.5520000000000005,Minor,0.21,147.834,4/4,0.6859999999999999,0,1
192882,Soul,SALES,Renee,0.755,0.924,0.386,0.00253,A,0.11800000000000001,-8.183,Major,0.0548,108.95700000000001,4/4,0.424,0,1
193068,Soul,Ann Peebles,I'm Gonna Tear Your Playhouse Down,0.0224,0.727,0.314,0.00234,G,0.177,-12.519,Minor,0.0282,98.09200000000001,4/4,0.794,0,1
193165,Soul,Yumi Zouma,In Camera,0.0285,0.733,0.618,0.0357,A#,0.115,-7.629,Major,0.0349,137.946,4/4,0.532,0,1
193594,Soul,Men I Trust,I Hope to Be Around,0.78,0.821,0.38299999999999995,0.0017100000000000001,B,0.11,-9.355,Major,0.0387,87.954,4/4,0.7879999999999999,0,1
193601,Soul,The Whispers,And the Beat Goes On,0.134,0.7929999999999999,0.643,0.00246,B,0.0361,-7.345,Minor,0.106,114.89399999999999,4/4,0.963,0,1
193774,Soul,Verzache,Kick It,0.273,0.6659999999999999,0.245,0.217,G,0.239,-12.527999999999999,Major,0.10300000000000001,134.04,4/4,0.07200000000000001,0,1
